 6.0  10.0                0
 6.0  10.2                0
 6.0  10.4                0
 6.0  10.6                0
 6.0  10.8                0
 6.0  11.0                0
 6.0  11.2                0
 6.0  11.4                0
 6.0  11.6                0
 6.0  11.8                0
 6.0  12.0                0
 6.0  12.2                0
 6.0  12.4                0
 6.0  12.6                0
 6.0  12.8                0
 6.0  13.0                0
 6.0  13.2                0
 6.0  13.4                0
 6.0  13.6                0
 6.0  13.8                0
 6.0  14.0                0
 6.0  14.2                0
 6.0  14.4                0
 6.0  14.6                0
 6.0  14.8                0
 6.0  15.0                0
 6.0  15.2                0
 6.0  15.4                0
 6.0  15.6                0
 6.0  15.8                0
 6.0  16.0                0
 6.0  16.2                0
 6.0  16.4                0
 6.0  16.6                0
 6.0  16.8                0
 6.0  17.0                0
 6.0  17.2                0
 6.0  17.4                0
 6.0  17.6                0
 6.0  17.8                0
 6.0  18.0                0
 6.0  18.2                0
 6.0  18.4                0
 6.2  10.0                0
 6.2  10.2                0
 6.2  10.4                0
 6.2  10.6                0
 6.2  10.8                0
 6.2  11.0                0
 6.2  11.2                0
 6.2  11.4                0
 6.2  11.6                0
 6.2  11.8                0
 6.2  12.0                0
 6.2  12.2                0
 6.2  12.4                0
 6.2  12.6                0
 6.2  12.8                0
 6.2  13.0                0
 6.2  13.2                0
 6.2  13.4                0
 6.2  13.6                0
 6.2  13.8                0
 6.2  14.0                0
 6.2  14.2                0
 6.2  14.4                0
 6.2  14.6                0
 6.2  14.8                0
 6.2  15.0                0
 6.2  15.2                0
 6.2  15.4                0
 6.2  15.6                0
 6.2  15.8                0
 6.2  16.0                0
 6.2  16.2                0
 6.2  16.4                0
 6.2  16.6                0
 6.2  16.8                0
 6.2  17.0                0
 6.2  17.2                0
 6.2  17.4                0
 6.2  17.6                0
 6.2  17.8                0
 6.2  18.0                0
 6.2  18.2                0
 6.2  18.4                0
 6.4  10.0                0
 6.4  10.2                0
 6.4  10.4                0
 6.4  10.6                0
 6.4  10.8                0
 6.4  11.0                0
 6.4  11.2                0
 6.4  11.4                0
 6.4  11.6                0
 6.4  11.8                0
 6.4  12.0                0
 6.4  12.2                0
 6.4  12.4                0
 6.4  12.6                0
 6.4  12.8                0
 6.4  13.0                0
 6.4  13.2                0
 6.4  13.4                0
 6.4  13.6                0
 6.4  13.8                0
 6.4  14.0                0
 6.4  14.2                0
 6.4  14.4                0
 6.4  14.6                0
 6.4  14.8                0
 6.4  15.0                0
 6.4  15.2                0
 6.4  15.4                0
 6.4  15.6                0
 6.4  15.8                0
 6.4  16.0                0
 6.4  16.2                0
 6.4  16.4                0
 6.4  16.6                0
 6.4  16.8                0
 6.4  17.0                0
 6.4  17.2                0
 6.4  17.4                0
 6.4  17.6                0
 6.4  17.8                0
 6.4  18.0                0
 6.4  18.2                0
 6.4  18.4                0
 6.6  10.0                0
 6.6  10.2                0
